ID,Name,HOF,FY,LY,SP,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP
dejesiv01,"de Jesus, Ivan",N,1974,1988,15,SS,0,1371,4602,595,1167,175,48,21,324,194,88,466,664,48,16,87,22,65,223,660,254,326,323
demaejo01,"DeMaestri, Joe",N,1951,1961,11,SS,0.09,1121,3441,322,813,114,23,49,281,15,19,168,511,13,17,30,22,91,137,183,236,325,274
demetdo01,"Demeter, Don",N,1956,1967,11,OF,0,1109,3443,467,912,147,17,163,563,22,25,180,658,31,42,33,32,65,164,202,265,459,307
dempsri01,"Dempsey, Rick",N,1969,1992,24,C,0,1766,4692,525,1093,223,12,96,471,20,19,592,736,13,18,63,42,131,235,612,233,347,319
dentbu01,"Dent, Bucky",N,1973,1984,12,SS,0.25,1392,4512,451,1114,169,23,40,423,17,29,328,349,9,15,121,49,79,192,345,247,321,297
dernibo01,"Dernier, Bob",N,1980,1989,10,OF,0,904,2483,374,634,92,16,23,152,218,63,222,301,2,8,36,8,34,108,440,255,333,318
deshide01,"DeShields, Delino",N,1990,2002,13,2B,0,1615,5779,872,1548,244,74,80,561,463,147,754,1061,31,20,57,42,99,318,1217,268,377,352
devermi01,"Devereaux, Mike",N,1987,1998,12,OF,0,1086,3740,491,949,170,33,105,480,85,56,296,635,6,12,20,34,84,203,381,254,401,308
diazbo01,"Diaz, Bo",N,1977,1989,13,C,0.15,993,3274,327,834,162,5,87,452,9,17,198,429,22,13,24,28,113,167,207,255,387,297
diazei01,"Diaz, Einar",N,1996,2006,11,C,0,673,2061,222,523,116,6,21,202,21,10,96,199,4,53,34,13,69,122,117,254,346,302
difelmi01,"Difelice, Mike",N,1996,2008,13,C,0,550,1558,145,368,83,9,28,167,3,2,101,334,3,19,22,14,51,92,104,236,355,288
dilonmi01,"Dilone, Miguel",N,1974,1985,12,OF,0,800,2000,314,530,67,25,6,129,267,78,142,197,2,6,30,4,37,92,409,265,332,315
disarga01,"Disarcina, Gary",N,1989,2000,12,SS,0.08,1086,3744,444,966,186,20,28,355,47,44,154,306,0,36,77,21,105,206,201,258,341,292
doranbi02,"Doran, Bill",N,1982,1993,12,2B,0,1453,5131,727,1366,220,39,84,497,209,93,709,600,52,10,34,38,79,259,918,266,373,354
driesda01,"Driessen, Dan",N,1973,1987,15,1B,0,1732,5479,746,1464,282,23,153,763,154,63,761,719,100,28,11,65,128,305,915,267,411,356
dropowa01,"Dropo, Walt",N,1949,1961,13,1B,0.08,1288,4124,478,1113,168,22,152,704,5,6,328,582,12,24,22,23,166,190,333,270,432,326
duceyro01,"Ducey, Rob",N,1987,2001,13,OF,0,703,1279,190,309,78,13,31,146,22,17,166,346,7,11,8,14,16,91,188,242,396,331
duffyfr01,"Duffy, Frank",N,1970,1979,10,SS,0,915,2665,248,619,104,14,26,240,49,30,171,342,7,8,68,12,69,118,220,232,311,279
duncada01,"Duncan, Dave",N,1964,1976,11,C,0.09,929,2885,274,617,79,4,109,341,5,13,252,677,20,14,21,18,68,83,257,214,357,279
duncama01,"Duncan, Mariano",N,1985,1997,12,2B,0.08,1279,4677,619,1247,233,37,87,491,174,57,201,913,12,37,50,33,93,270,375,267,388,300
dunstsh01,"Dunston, Shawon",N,1985,2002,18,SS,0.11,1814,5927,736,1597,292,62,150,668,212,82,203,1000,44,41,56,49,98,354,415,269,416,296
durhale01,"Durham, Leon",N,1980,1989,10,1B,0.2,1067,3587,522,992,192,40,147,530,106,61,444,679,96,9,3,24,49,232,550,277,475,356
durhara01,"Durham, Ray",N,1995,2008,14,2B,0.14,1975,7408,1249,2054,440,79,192,875,273,97,820,1201,34,72,55,68,151,519,1093,277,436,352
dwyerji01,"Dwyer, Jim",N,1973,1990,18,OF,0,1328,2761,409,719,115,17,77,349,26,15,402,402,34,12,26,33,49,132,428,260,398,353
dyerdu01,"Dyer, Duffy",N,1968,1981,14,C,0,722,1993,151,441,74,11,30,173,10,4,228,415,49,19,16,10,54,85,238,221,315,306
dykstle01,"Dykstra, Lenny",N,1985,1996,12,OF,0.25,1278,4559,802,1298,281,43,81,404,285,72,640,503,50,31,25,27,39,324,925,285,419,375
easleda01,"Easley, Damion",N,1992,2008,17,2B,0.06,1706,5484,735,1386,287,27,163,684,114,56,510,935,22,132,42,43,128,314,624,253,404,329
easlemi01,"Easler, Mike",N,1973,1987,14,OF,0.07,1151,3677,465,1078,189,25,118,522,20,26,321,696,46,17,6,40,85,214,341,293,454,349
edwarjo01,"Edwards, Johnny",N,1961,1974,14,C,0.21,1470,4577,430,1106,202,32,81,524,15,23,465,635,118,16,31,43,77,234,480,242,353,311
eganto01,"Egan, Tom",N,1965,1975,10,C,0,373,979,74,196,25,3,22,91,2,1,80,336,4,9,11,5,23,28,82,200,299,266
eisenji01,"Eisenreich, Jim",N,1982,1998,15,OF,0,1422,3995,492,1160,221,39,52,477,105,38,324,435,47,8,22,42,75,260,429,290,404,341
ellisjo01,"Ellis, John",N,1969,1981,13,1B,0,883,2672,259,699,116,13,69,391,6,10,190,403,17,19,4,30,82,129,196,262,392,312
elsteke01,"Elster, Kevin",N,1986,2000,13,SS,0,940,2844,332,648,136,12,88,376,14,11,295,562,39,13,38,35,45,148,309,228,377,300
encarju01,"Encarnacion, Juan",N,1997,2007,11,OF,0,1259,4685,618,1264,242,46,156,667,127,59,288,853,13,54,27,41,116,288,415,270,441,317
espinal01,"Espinoza, Alvaro",N,1984,1997,12,SS,0,942,2478,252,630,105,9,22,201,13,19,76,324,1,16,73,16,66,114,89,254,331,279
espossa01,"Esposito, Sammy",N,1952,1963,10,3B,0,560,792,130,164,27,2,8,73,7,7,145,127,4,4,21,8,23,29,152,207,277,330
essiaji01,"Essian, Jim",N,1973,1984,12,C,0,710,1855,194,453,85,3,33,207,9,13,231,171,3,6,33,21,63,88,240,244,347,327
etchean01,"Etchebarren, Andy",N,1962,1978,15,C,0.13,948,2618,245,615,101,17,49,309,13,14,246,529,41,31,20,19,84,118,259,235,343,306
evansda01,"Evans, Darrell",N,1969,1989,21,3B,0.1,2687,8973,1344,2223,329,36,414,1354,98,68,1605,1410,141,35,34,90,133,365,1703,248,431,361
evansdw01,"Evans, Dwight",N,1972,1991,20,OF,0.15,2606,8996,1470,2446,483,73,385,1384,78,59,1391,1697,60,53,52,77,227,556,1469,272,470,370
evereca01,"Everett, Carl",N,1993,2006,14,OF,0.14,1405,4809,707,1304,258,26,202,792,107,54,442,1021,39,87,15,42,83,284,549,271,462,341
